Zip3,State,DAT_Market,Market_City,Distance
565,MN,ND_FAR,FARGO,35
566,MN,ND_FAR,FARGO,128
567,MN,ND_FAR,FARGO,106
570,SD,SD_SXF,SIOUX FALLS,16
571,SD,SD_SXF,SIOUX FALLS,4
572,SD,SD_SXF,SIOUX FALLS,109
573,SD,SD_SXF,SIOUX FALLS,88
574,SD,ND_BIS,BISMARCK,138
575,SD,SD_RAP,RAPID CITY,140
576,SD,ND_BIS,BISMARCK,96
577,SD,SD_RAP,RAPID CITY,7
580,ND,ND_FAR,FARGO,28
581,ND,ND_FAR,FARGO,4
582,ND,ND_FAR,FARGO,96
583,ND,ND_BIS,BISMARCK,128
584,ND,ND_BIS,BISMARCK,80
585,ND,ND_BIS,BISMARCK,10
586,ND,ND_BIS,BISMARCK,106
587,ND,ND_BIS,BISMARCK,113
588,ND,ND_BIS,BISMARCK,165
590,MT,MT_BIL,BILLINGS,20
591,MT,MT_BIL,BILLINGS,13
592,MT,MT_BIL,BILLINGS,238
593,MT,MT_BIL,BILLINGS,150
594,MT,MT_MIS,MISSOULA,145
595,MT,MT_BIL,BILLINGS,205
596,MT,MT_MIS,MISSOULA,102
597,MT,MT_MIS,MISSOULA,119
598,MT,MT_MIS,MISSOULA,18
599,MT,MT_MIS,MISSOULA,101
600,IL,IL_CHI,CHICAGO,31
601,IL,IL_JOL,JOLIET,32
602,IL,IL_CHI,CHICAGO,12
603,IL,IL_CHI,CHICAGO,9
604,IL,IL_JOL,JOLIET,16
605,IL,IL_JOL,JOLIET,15
606,IL,IL_CHI,CHICAGO,3
607,IL,IL_CHI,CHICAGO,11
608,IL,IL_CHI,CHICAGO,12
609,IL,IL_JOL,JOLIET,50
610,IL,IL_RFD,ROCKFORD,21
611,IL,IL_RFD,ROCKFORD,6
612,IL,IL_ROC,ROCK ISLAND,13
613,IL,IL_JOL,JOLIET,53
614,IL,IL_ROC,ROCK ISLAND,45
615,IL,IL_BLO,BLOOMINGTON,40
616,IL,IL_BLO,BLOOMINGTON,36
617,IL,IL_BLO,BLOOMINGTON,4
618,IL,IL_BLO,BLOOMINGTON,53
619,IL,IN_TER,TERRE HAUTE,49
620,IL,MO_STL,ST LOUIS,47
622,IL,MO_STL,ST LOUIS,59
623,IL,IL_QUI,QUINCY,19
624,IL,IN_TER,TERRE HAUTE,48
625,IL,IL_TAY,TAYLORVILLE,10
626,IL,IL_TAY,TAYLORVILLE,42
627,IL,IL_TAY,TAYLORVILLE,25
628,IL,IN_EVA,EVANSVILLE,65
629,IL,MO_GIR,CAPE GIRARDEAU,36
630,MO,MO_STL,ST LOUIS,24
631,MO,MO_STL,ST LOUIS,28
633,MO,MO_STL,ST LOUIS,19
634,MO,IL_QUI,QUINCY,21
635,MO,IL_QUI,QUINCY,66
636,MO,MO_GIR,CAPE GIRARDEAU,63
637,MO,MO_GIR,CAPE GIRARDEAU,11
638,MO,MO_GIR,CAPE GIRARDEAU,59
639,MO,MO_GIR,CAPE GIRARDEAU,62
640,MO,MO_KAN,KANSAS CITY,21
641,MO,MO_KAN,KANSAS CITY,3
644,MO,MO_KAN,KANSAS CITY,67
645,MO,MO_KAN,KANSAS CITY,44
646,MO,MO_KAN,KANSAS CITY,74
647,MO,MO_JOP,JOPLIN,71
648,MO,MO_JOP,JOPLIN,13
650,MO,MO_JEF,JEFFERSON CITY,8
651,MO,MO_JEF,JEFFERSON CITY,5
652,MO,MO_JEF,JEFFERSON CITY,52
653,MO,MO_JEF,JEFFERSON CITY,62
654,MO,MO_JEF,JEFFERSON CITY,60
655,MO,MO_JEF,JEFFERSON CITY,60
656,MO,MO_JOP,JOPLIN,75
657,MO,MO_JOP,JOPLIN,82
658,MO,MO_JOP,JOPLIN,67
660,KS,MO_KAN,KANSAS CITY,33
661,KS,MO_KAN,KANSAS CITY,7
662,KS,MO_KAN,KANSAS CITY,15
664,KS,MO_KAN,KANSAS CITY,81
665,KS,MO_KAN,KANSAS CITY,82
666,KS,MO_KAN,KANSAS CITY,61
667,KS,MO_JOP,JOPLIN,46
668,KS,KS_HUT,HUTCHINSON,88
669,KS,KS_HUT,HUTCHINSON,126
670,KS,KS_HUT,HUTCHINSON,34
671,KS,KS_HUT,HUTCHINSON,32
672,KS,KS_HUT,HUTCHINSON,38
673,KS,MO_JOP,JOPLIN,70
674,KS,KS_HUT,HUTCHINSON,67
675,KS,KS_HUT,HUTCHINSON,54
676,KS,KS_HUT,HUTCHINSON,123
677,KS,NE_NPL,NORTH PLATTE,125
678,KS,KS_HUT,HUTCHINSON,150
679,KS,TX_AMA,AMARILLO,138
680,NE,NE_OMA,OMAHA,30
681,NE,NE_OMA,OMAHA,5
683,NE,NE_OMA,OMAHA,72
684,NE,NE_OMA,OMAHA,60
685,NE,NE_OMA,OMAHA,49
686,NE,NE_OMA,OMAHA,84
687,NE,SD_SXF,SIOUX FALLS,91
688,NE,NE_NPL,NORTH PLATTE,97
689,NE,NE_NPL,NORTH PLATTE,117
690,NE,NE_NPL,NORTH PLATTE,55
691,NE,NE_NPL,NORTH PLATTE,42
692,NE,NE_NPL,NORTH PLATTE,109
